Tanggal,Media,Topik
26-Jan-21,Website,Legalitas perumahan kampung madani
26-Jan-21,Twitter,Cafe buka lebih dari yang ditentukan saat diberlakukan PTKM
26-Jan-21,Instagram,GYM melakukan aktivitas kerumunan di dalam ruangan saat diberlakukan PTKM
26-Jan-21,Instagram,Masuk ke Sleman dari luar kota
26-Jan-21,Instagram,Parkir liar di tempat wisata
26-Jan-21,Instagram,Prosedur permohonan SIUP dan TDP
26-Jan-21,Instagram,Tes ang dapat datang ke rumah
26-Jan-21,Instagram,Pelayanan online Dukcapil
26-Jan-21,Lapor.go.id,pelayanan puskesmas godean 1 kurang tanggap kondisi pasien
26-Jan-21,Lapor.go.id,danya indikasi pelanggaran kebijakan Pengetatan Secara Terbatas Kegiatan Masyarakat ( PTKM ) di masa Pandemi COVID-19
26-Jan-21,Instagram,Perawatan bagi apsien covid-19
26-Jan-21,Instagram,Permohonan surat keterangan isolasi mandiri
26-Jan-21,Instagram,Undian telkom
26-Jan-21,Instagram,Layanan samsat
26-Jan-21,Instagram,Denda pajak kendaraan bermotor
26-Jan-21,Twitter,Pelayanan online Dukcapil
26-Jan-21,Instagram,Warung burjo buka sampai pagi saat diberlakukan PTKM
26-Jan-21,Lapor Sleman,Air PDAM Keruh
27-Jan-21,Lapor Sleman,Tempat Sampah Sekitar Lapangan Pemda
27-Jan-21,Twitter,Pelayanan online Dukcapil
27-Jan-21,Twitter,Pelayanan online Dukcapil
27-Jan-21,Twitter,Pameran burung berkicau saat diberlakukan PTKM
27-Jan-21,Instagram,Pameran burung berkicau saat diberlakukan PTKM
27-Jan-21,Instagram,Warung nasi goreng buka sampai pagi saat diberlakukan PTKM
27-Jan-21,Website,Warung nasi goreng buka sampai pagi saat diberlakukan PTKM
27-Jan-21,Lapor Sleman,Sinkronisasi Data Ktp Dan Kk Sudah 2 Tahun Tidak Adankelanjutan
27-Jan-21,Instagram,Pelayanan akta kelahiran online
27-Jan-21,Instagram,lowongan kerja tenaga bantu
27-Jan-21,Lapor Sleman,Pilkades
27-Jan-21,Twitter,cafe tidak menerapkan prokes saat diberlakukan PTKM
27-Jan-21,Instagram,Air PDAM Keruh
27-Jan-21,Instagram,transportasi umum
27-Jan-21,Instagram,Pelayanan Dukcapil
27-Jan-21,Instagram,Jam operasional warung makan burjo saat diberlakukan PTKM
27-Jan-21,Instagram,Jalan inspeksi selokan amtaram
